随机点播,#genre#
装歌免费分享,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0
接口软件永远免费,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0&2
长期维护切勿贩卖,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0&3
卡左右可换源,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0&4
网络收集随时失效,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php
DJ舞曲[刷新就是新内容],http://xjj1.716888.xyz/fenlei/djxjj/dj1.php
网络热曲[刷新就是新内容],https://188sp.711888.xyz/188/video.php
4K视频[刷新就是新内容],http://xjj1.716888.xyz/fenlei/4k/4k.php

央卫频道,#genre#
CCTV1,http://116.235.57.71:4022/rtp/233.18.204.168:5140
CCTV1,http://116.235.57.71:4022/rtp/233.18.204.52:5140
CCTV1,http://116.235.57.71:4022/rtp/233.18.204.20:5140
CCTV1,http://106.59.3.119:55555/udp/239.200.201.135:8880
CCTV1,http://106.59.3.119:55555/udp/239.200.200.70:8008
CCTV1,http://106.59.3.119:55555/udp/239.200.200.95:8044
CCTV1,http://106.59.3.119:55555/rtp/239.200.200.2:8080
CCTV1,http://106.59.3.119:55555/rtp/239.200.200.14:8852
CCTV1,http://106.59.3.119:55555/rtp/239.200.201.45:8800
CCTV1,http://106.59.3.119:55555/rtp/239.200.200.117:8712
CCTV1,http://115.171.80.79:1688/rtp/225.1.8.1:8008
CCTV1,http://115.171.80.79:1688/rtp/225.1.8.33:8002
CCTV1,http://115.171.80.79:1688/rtp/225.1.8.53:8060
CCTV1,http://115.171.80.79:1688/rtp/225.1.8.81:8176
CCTV1,http://115.171.80.79:1688/rtp/225.1.8.126:8002
CCTV1,http://115.171.80.79:1688/rtp/225.1.8.194:4120
CCTV1,http://115.171.80.79:1688/rtp/225.1.8.210:8068
CCTV1,http://114.254.34.140:18888/rtp/239.3.1.129:8008
CCTV1,http://171.213.148.23:8188/udp/239.94.0.31:5140
CCTV1,http://171.213.221.131:4000/udp/239.94.0.31:5140
CCTV1,http://111.162.204.109:8686/rtp/225.1.1.120:5002
CCTV1,http://111.113.89.184:2000/rtp/239.121.4.113:8636
CCTV1,http://118.78.196.81:55555/rtp/226.0.2.153:9136
CCTV1,http://58.253.171.89:8188/udp/239.0.1.3:8008
CCTV1,http://113.119.27.182:58888/udp/239.77.1.144:5146
CCTV1,http://220.176.218.180:9000/udp/239.252.219.200:5140
CCTV1,http://111.227.202.5:4022/rtp/239.254.200.45:8008
CCTV1,http://61.159.134.243:18000/rtp/238.255.2.91:5999
CCTV1,http://123.191.12.76:1111/rtp/232.0.0.27:1234
CCTV1,http://106.83.116.192:8188/rtp/235.254.198.51:1480
CCTV1,http://117.39.33.174:4022/rtp/239.112.205.59:5140
CCTV1,http://220.167.170.141:4000/rtp/239.120.1.119:8260
CCTV1,http://220.167.170.141:4000/rtp/239.120.1.120:8778
CCTV1,http://58.46.71.91:8188/udp/239.76.253.151:9000
CCTV1,http://58.46.71.91:8188/udp/239.76.251.87:9000
CCTV1,http://58.46.71.91:8188/udp/239.76.246.151:1234
CCTV1,http://222.83.161.177:9003/udp/239.81.0.102:4056
CCTV2,http://116.235.57.71:4022/rtp/233.18.204.68:5140
CCTV2,http://116.235.57.71:4022/rtp/233.18.204.21:5140
CCTV2,http://106.59.3.119:55555/udp/239.200.200.104:8084
CCTV2,http://115.171.80.79:1688/rtp/225.1.8.2:8084
CCTV2,http://114.254.34.140:18888/rtp/239.3.1.60:8084
CCTV2,http://171.213.148.23:8188/udp/239.94.0.2:5140
CCTV2,http://171.213.221.131:4000/udp/239.94.0.2:5140
CCTV2,http://111.162.204.109:8686/rtp/225.1.1.133:5002
CCTV2,http://111.113.89.184:2000/rtp/239.121.4.155:8914
CCTV2,http://118.78.196.81:55555/rtp/226.0.2.154:9144
CCTV2,http://58.253.171.89:8188/udp/239.0.1.4:8084
CCTV2,http://113.119.27.182:58888/udp/239.77.1.158:5146
CCTV2,http://220.176.218.180:9000/udp/239.252.220.183:5140
CCTV2,http://111.227.202.5:4022/rtp/239.254.200.158:6000
CCTV2,http://61.159.134.243:18000/rtp/238.255.2.11:5999
CCTV2,http://123.191.12.76:1111/rtp/232.0.0.135:1234
CCTV2,http://106.83.116.192:8188/rtp/235.254.198.52:1484
CCTV2,http://117.39.33.174:4022/rtp/239.112.205.78:5140
CCTV2,http://220.167.170.141:4000/rtp/239.120.1.223:9484
CCTV2,http://58.46.71.91:8188/udp/239.76.253.152:9000
CCTV2,http://58.46.71.91:8188/udp/239.76.246.152:1234
CCTV2,http://222.83.161.177:9003/udp/239.81.0.115:4056
CCTV3,http://116.235.57.71:4022/rtp/233.18.204.69:5140
CCTV3,http://116.235.57.71:4022/rtp/233.18.204.22:5140
CCTV3,http://106.59.3.119:55555/udp/239.200.200.18:9008
CCTV3,http://115.171.80.79:1688/rtp/225.1.8.88:8000
CCTV3,http://114.254.34.140:18888/rtp/239.3.1.172:8001
CCTV3,http://171.213.148.23:8188/udp/239.94.0.32:5140
CCTV3,http://171.213.221.131:4000/udp/239.94.0.32:5140
CCTV3,http://111.162.204.109:8686/rtp/225.1.1.158:5002
CCTV3,http://111.113.89.184:2000/rtp/239.121.4.151:8890
CCTV3,http://118.78.196.81:55555/rtp/226.0.2.208:9576
CCTV3,http://58.253.171.89:8188/udp/239.0.1.177:6037
CCTV3,http://113.119.27.182:58888/udp/239.77.0.169:5146
CCTV3,http://220.176.218.180:9000/udp/239.252.219.252:5140
CCTV3,http://220.176.218.180:9000/udp/239.252.220.193:5140
CCTV3,http://111.227.202.5:4022/rtp/239.254.201.152:7205
CCTV3,http://61.159.134.243:18000/rtp/238.255.2.133:5999
CCTV3,http://123.191.12.76:1111/rtp/232.0.0.170:1234
CCTV3,http://106.83.116.192:8188/rtp/235.254.198.53:1488
CCTV3,http://117.39.33.174:4022/rtp/239.112.205.221:5140
CCTV3,http://220.167.170.141:4000/rtp/239.120.1.88:9420
CCTV3,http://58.46.71.91:8188/udp/239.76.253.153:9000
CCTV3,http://58.46.71.91:8188/udp/239.76.246.153:1234
CCTV3,http://222.83.161.177:9003/udp/239.81.0.231:4056
CCTV4,http://116.235.57.71:4022/rtp/233.18.204.70:5140
CCTV4,http://116.235.57.71:4022/rtp/233.18.204.23:5140
CCTV4,http://106.59.3.119:55555/udp/239.200.200.128:8652
CCTV4,http://106.59.3.119:55555/rtp/239.200.201.181:4220
CCTV4,http://106.59.3.119:55555/rtp/239.200.201.180:4220
CCTV4,http://115.171.80.79:1688/rtp/225.1.8.4:8092
CCTV4,http://114.254.34.140:18888/rtp/239.3.1.105:8092
CCTV4,http://114.254.34.140:18888/rtp/239.3.1.213:4220
CCTV4,http://114.254.34.140:18888/rtp/239.3.1.214:4220
CCTV4,http://171.213.148.23:8188/udp/239.94.0.4:5140
CCTV4,http://171.213.221.131:4000/udp/239.94.0.4:5140
CCTV4,http://111.162.204.109:8686/rtp/225.1.1.150:5002
CCTV4,http://111.113.89.184:2000/rtp/239.121.4.134:8786
CCTV4,http://111.113.89.184:2000/rtp/239.121.4.124:8002
CCTV4,http://111.113.89.184:2000/rtp/239.121.4.123:8000
CCTV4,http://118.78.196.81:55555/rtp/226.0.2.156:9160
CCTV4,http://58.253.171.89:8188/udp/239.0.1.180:6040
CCTV4,http://113.119.27.182:58888/udp/239.77.1.163:5146
CCTV4,http://220.176.218.180:9000/udp/239.252.220.184:5140
CCTV4,http://220.176.218.180:9000/udp/239.252.219.192:5140
CCTV4,http://220.176.218.180:9000/udp/239.252.219.193:5140
CCTV4,http://111.227.202.5:4022/rtp/239.254.200.190:6307
CCTV4,http://111.227.202.5:4022/rtp/239.254.201.205:4220
CCTV4,http://111.227.202.5:4022/rtp/239.254.201.206:4220
CCTV4,http://61.159.134.243:18000/rtp/238.255.2.92:5999
CCTV4,http://61.159.134.243:18000/rtp/238.255.2.213:5999
CCTV4,http://61.159.134.243:18000/rtp/238.255.2.214:5999
CCTV4,http://123.191.12.76:1111/rtp/232.0.0.201:1234
CCTV4,http://123.191.12.76:1111/rtp/232.0.0.53:1234
CCTV4,http://123.191.12.76:1111/rtp/232.0.0.59:1234
CCTV4,http://106.83.116.192:8188/rtp/235.254.198.183:7980
CCTV4,http://117.39.33.174:4022/rtp/239.112.205.202:5140
CCTV4,http://220.167.170.141:4000/rtp/239.120.1.159:9012
